AdaptStationary::AdaptStationary():
               You make use of the obsolete constructor AdaptStationary::AdaptStationary(...)!
               Please use the constructor that uses references instead of pointers!
1 : 0.0007 : 0.0443693 : 0.00123684 : 1.2 : 0.7
2 : 0.0007 : 0.0443272 : 0.000948381 : 1.2 : 0.7
3 : 0.0007 : 0.0443058 : 0.000484533 : 1.2 : 0.7
4 : 0.0007 : 0.0442875 : 0.000411797 : 1.2 : 0.7
5 : 0.0007 : 0.0442666 : 0.00047157 : 1.2 : 0.7
6 : 0.0007 : 0.0442571 : 0.000215217 : 1.2 : 0.7
7 : 0.0007 : 0.044238 : 0.000431192 : 1.2 : 0.7
8 : 0.0007 : 0.0442296 : 0.000189214 : 1.2 : 0.7
9 : 0.0007 : 0.0442133 : 0.000369753 : 1.2 : 0.7
10 : 0.0007 : 0.0442034 : 0.000222639 : 1.2 : 0.7
11 : 0.0007 : 0.0441886 : 0.000335513 : 1.2 : 0.7
12 : 0.0007 : 0.0441779 : 0.000243113 : 1.2 : 0.7
13 : 0.0007 : 0.044164 : 0.000315114 : 1.2 : 0.7
14 : 0.0007 : 0.0441526 : 0.0002561 : 1.2 : 0.7
15 : 0.0007 : 0.0441393 : 0.000302568 : 1.2 : 0.7
16 : 0.0007 : 0.0441276 : 0.0002644 : 1.2 : 0.7
17 : 0.0007 : 0.0441146 : 0.000294728 : 1.2 : 0.7
18 : 0.0007 : 0.0441027 : 0.00026969 : 1.2 : 0.7
19 : 0.0007 : 0.0440899 : 0.000289782 : 1.2 : 0.7
20 : 0.0007 : 0.0440779 : 0.00027304 : 1.2 : 0.7
21 : 0.0007 : 0.0440653 : 0.000286356 : 1.2 : 0.7
22 : 0.0007 : 0.0440531 : 0.000275425 : 1.2 : 0.7
23 : 0.0007 : 0.0440406 : 0.000283943 : 1.2 : 0.7
24 : 0.0007 : 0.0440284 : 0.000277129 : 1.2 : 0.7
25 : 0.0007 : 0.044016 : 0.000282417 : 1.2 : 0.7
26 : 0.0007 : 0.0440037 : 0.000278149 : 1.2 : 0.7
27 : 0.0007 : 0.0439914 : 0.000281435 : 1.2 : 0.7
28 : 0.0007 : 0.0439791 : 0.000278748 : 1.2 : 0.7
29 : 0.0007 : 0.0439667 : 0.000280791 : 1.2 : 0.7
30 : 0.0007 : 0.0439545 : 0.000279089 : 1.2 : 0.7
31 : 0.0007 : 0.0439422 : 0.000280357 : 1.2 : 0.7
32 : 0.0007 : 0.0439299 : 0.00027927 : 1.2 : 0.7
33 : 0.0007 : 0.0439176 : 0.000280052 : 1.2 : 0.7
34 : 0.0007 : 0.0439053 : 0.000279351 : 1.2 : 0.7
35 : 0.0007 : 0.043893 : 0.00027983 : 1.2 : 0.7
36 : 0.0007 : 0.0438808 : 0.000279371 : 1.2 : 0.7
37 : 0.0007 : 0.0438685 : 0.000279658 : 1.2 : 0.7
38 : 0.0007 : 0.0438562 : 0.000279352 : 1.2 : 0.7
39 : 0.0007 : 0.043844 : 0.000279519 : 1.2 : 0.7
40 : 0.0007 : 0.0438317 : 0.00027931 : 1.2 : 0.7
41 : 0.0007 : 0.0438195 : 0.0002794 : 1.2 : 0.7
42 : 0.0007 : 0.0438072 : 0.000279252 : 1.2 : 0.7
43 : 0.0007 : 0.043795 : 0.000279295 : 1.2 : 0.7
44 : 0.0007 : 0.0437828 : 0.000279185 : 1.2 : 0.7
45 : 0.0007 : 0.0437706 : 0.000279197 : 1.2 : 0.7
46 : 0.0007 : 0.0437583 : 0.000279112 : 1.2 : 0.7
47 : 0.0007 : 0.0437461 : 0.000279105 : 1.2 : 0.7
48 : 0.0007 : 0.0437339 : 0.000279036 : 1.2 : 0.7
49 : 0.0007 : 0.0437217 : 0.000279016 : 1.2 : 0.7
50 : 0.0007 : 0.0437095 : 0.000278957 : 1.2 : 0.7
51 : 0.0007 : 0.0436973 : 0.00027893 : 1.2 : 0.7
52 : 0.0007 : 0.0436851 : 0.000278877 : 1.2 : 0.7
53 : 0.0007 : 0.043673 : 0.000278845 : 1.2 : 0.7
54 : 0.0007 : 0.0436608 : 0.000278796 : 1.2 : 0.7
55 : 0.0007 : 0.0436486 : 0.000278765 : 1.2 : 0.7
56 : 0.0007 : 0.0436365 : 0.000278715 : 1.2 : 0.7
57 : 0.0007 : 0.0436243 : 0.00027868 : 1.2 : 0.7
58 : 0.0007 : 0.0436121 : 0.000278633 : 1.2 : 0.7
59 : 0.0007 : 0.0436 : 0.000278595 : 1.2 : 0.7
60 : 0.0007 : 0.0435878 : 0.000278551 : 1.2 : 0.7
61 : 0.0007 : 0.0435757 : 0.000278511 : 1.2 : 0.7
62 : 0.0007 : 0.0435636 : 0.000278469 : 1.2 : 0.7
63 : 0.0007 : 0.0435514 : 0.000278428 : 1.2 : 0.7
64 : 0.0007 : 0.0435393 : 0.000278387 : 1.2 : 0.7
65 : 0.0007 : 0.0435272 : 0.000278345 : 1.2 : 0.7
66 : 0.0007 : 0.0435151 : 0.000278304 : 1.2 : 0.7
67 : 0.0007 : 0.043503 : 0.000278263 : 1.2 : 0.7
68 : 0.0007 : 0.0434909 : 0.000278222 : 1.2 : 0.7
69 : 0.0007 : 0.0434788 : 0.000278181 : 1.2 : 0.7
70 : 0.0007 : 0.0434667 : 0.00027814 : 1.2 : 0.7
71 : 0.0007 : 0.0434546 : 0.000278099 : 1.2 : 0.7
72 : 0.0007 : 0.0434425 : 0.000278058 : 1.2 : 0.7
73 : 0.0007 : 0.0434304 : 0.000278016 : 1.2 : 0.7
74 : 0.0007 : 0.0434184 : 0.000277975 : 1.2 : 0.7
75 : 0.0007 : 0.0434063 : 0.000277934 : 1.2 : 0.7
76 : 0.0007 : 0.0433942 : 0.000277893 : 1.2 : 0.7
77 : 0.0007 : 0.0433822 : 0.000277852 : 1.2 : 0.7
78 : 0.0007 : 0.0433701 : 0.000277811 : 1.2 : 0.7
79 : 0.0007 : 0.0433581 : 0.00027777 : 1.2 : 0.7
80 : 0.0007 : 0.043346 : 0.000277729 : 1.2 : 0.7
81 : 0.0007 : 0.043334 : 0.000277688 : 1.2 : 0.7
82 : 0.0007 : 0.043322 : 0.000277647 : 1.2 : 0.7
83 : 0.0007 : 0.0433099 : 0.000277606 : 1.2 : 0.7
84 : 0.0007 : 0.0432979 : 0.000277565 : 1.2 : 0.7
85 : 0.0007 : 0.0432859 : 0.000277524 : 1.2 : 0.7
86 : 0.0007 : 0.0432739 : 0.000277483 : 1.2 : 0.7
87 : 0.0007 : 0.0432619 : 0.000277442 : 1.2 : 0.7
88 : 0.0007 : 0.0432499 : 0.000277401 : 1.2 : 0.7
89 : 0.0007 : 0.0432379 : 0.00027736 : 1.2 : 0.7
90 : 0.0007 : 0.0432259 : 0.000276148 : 1.2 : 0.7
91 : 0.0007 : 0.043214 : 0.000275496 : 1.2 : 0.7
92 : 0.0007 : 0.0432021 : 0.000275456 : 1.2 : 0.7
93 : 0.0007 : 0.0431902 : 0.000275416 : 1.2 : 0.7
94 : 0.0007 : 0.0431783 : 0.000275376 : 1.2 : 0.7
95 : 0.0007 : 0.0431664 : 0.000275336 : 1.2 : 0.7
96 : 0.0007 : 0.0431546 : 0.000275296 : 1.2 : 0.7
97 : 0.0007 : 0.0431427 : 0.000275257 : 1.2 : 0.7
98 : 0.0007 : 0.0431308 : 0.000275217 : 1.2 : 0.7
99 : 0.0007 : 0.0431189 : 0.000275177 : 1.2 : 0.7
100 : 0.0007 : 0.0431071 : 0.000275137 : 1.2 : 0.7
101 : 0.0007 : 0.0430952 : 0.000275097 : 1.2 : 0.7
102 : 0.0007 : 0.0430834 : 0.000275057 : 1.2 : 0.7
103 : 0.0007 : 0.0430715 : 0.000275017 : 1.2 : 0.7
104 : 0.0007 : 0.0430597 : 0.000274977 : 1.2 : 0.7
105 : 0.0007 : 0.0430478 : 0.000274938 : 1.2 : 0.7
106 : 0.0007 : 0.043036 : 0.000274898 : 1.2 : 0.7
107 : 0.0007 : 0.0430242 : 0.000274858 : 1.2 : 0.7
108 : 0.0007 : 0.0430124 : 0.000274818 : 1.2 : 0.7
109 : 0.0007 : 0.0430005 : 0.000274778 : 1.2 : 0.7
110 : 0.0007 : 0.0429887 : 0.000274738 : 1.2 : 0.7
111 : 0.0007 : 0.0429769 : 0.000274699 : 1.2 : 0.7
112 : 0.0007 : 0.0429651 : 0.000274659 : 1.2 : 0.7
113 : 0.0007 : 0.0429533 : 0.000274619 : 1.2 : 0.7
114 : 0.0007 : 0.0429415 : 0.000274579 : 1.2 : 0.7
115 : 0.0007 : 0.0429297 : 0.000274539 : 1.2 : 0.7
116 : 0.0007 : 0.0429179 : 0.000274499 : 1.2 : 0.7
117 : 0.0007 : 0.0429062 : 0.000273566 : 1.2 : 0.7
118 : 0.0007 : 0.0428945 : 0.000273417 : 1.2 : 0.7
119 : 0.0007 : 0.0428827 : 0.000273378 : 1.2 : 0.7
120 : 0.0007 : 0.042871 : 0.000273338 : 1.2 : 0.7
121 : 0.0007 : 0.0428593 : 0.000273299 : 1.2 : 0.7
122 : 0.0007 : 0.0428476 : 0.00027326 : 1.2 : 0.7
123 : 0.0007 : 0.0428359 : 0.000273221 : 1.2 : 0.7
124 : 0.0007 : 0.0428242 : 0.000273182 : 1.2 : 0.7
125 : 0.0007 : 0.0428125 : 0.000273142 : 1.2 : 0.7
126 : 0.0007 : 0.0428008 : 0.000273103 : 1.2 : 0.7
127 : 0.0007 : 0.0427891 : 0.000273064 : 1.2 : 0.7
128 : 0.0007 : 0.0427774 : 0.000273025 : 1.2 : 0.7
129 : 0.0007 : 0.0427657 : 0.000272986 : 1.2 : 0.7
130 : 0.0007 : 0.0427541 : 0.000272947 : 1.2 : 0.7
131 : 0.0007 : 0.0427424 : 0.000272907 : 1.2 : 0.7
132 : 0.0007 : 0.0427307 : 0.000272868 : 1.2 : 0.7
133 : 0.0007 : 0.0427191 : 0.000272834 : 1.2 : 0.7
134 : 0.0007 : 0.0427074 : 0.00027279 : 1.2 : 0.7
135 : 0.0007 : 0.0426958 : 0.000272754 : 1.2 : 0.7
136 : 0.0007 : 0.0426841 : 0.000272712 : 1.2 : 0.7
137 : 0.0007 : 0.0426725 : 0.000272674 : 1.2 : 0.7
138 : 0.0007 : 0.0426609 : 0.000272634 : 1.2 : 0.7
139 : 0.0007 : 0.0426493 : 0.000271112 : 1.2 : 0.7
140 : 0.0007 : 0.0426377 : 0.000270814 : 1.2 : 0.7
141 : 0.0007 : 0.0426262 : 0.000270773 : 1.2 : 0.7
142 : 0.0007 : 0.0426147 : 0.000270737 : 1.2 : 0.7
143 : 0.0007 : 0.0426031 : 0.000270697 : 1.2 : 0.7
144 : 0.0007 : 0.0425916 : 0.00027066 : 1.2 : 0.7
145 : 0.0007 : 0.0425801 : 0.000270621 : 1.2 : 0.7
146 : 0.0007 : 0.0425685 : 0.000270584 : 1.2 : 0.7
147 : 0.0007 : 0.042557 : 0.000270545 : 1.2 : 0.7
148 : 0.0007 : 0.0425455 : 0.000270507 : 1.2 : 0.7
149 : 0.0007 : 0.042534 : 0.000270469 : 1.2 : 0.7
150 : 0.0007 : 0.0425225 : 0.000270431 : 1.2 : 0.7
151 : 0.0007 : 0.042511 : 0.000270393 : 1.2 : 0.7
152 : 0.0007 : 0.0424995 : 0.000270355 : 1.2 : 0.7
153 : 0.0007 : 0.042488 : 0.000270317 : 1.2 : 0.7
154 : 0.0007 : 0.0424765 : 0.000270279 : 1.2 : 0.7
155 : 0.0007 : 0.0424651 : 0.000270241 : 1.2 : 0.7
156 : 0.0007 : 0.0424536 : 0.000270203 : 1.2 : 0.7
157 : 0.0007 : 0.0424421 : 0.000270164 : 1.2 : 0.7
158 : 0.0007 : 0.0424307 : 0.000270126 : 1.2 : 0.7
159 : 0.0007 : 0.0424192 : 0.000270088 : 1.2 : 0.7
160 : 0.0007 : 0.0424077 : 0.00027005 : 1.2 : 0.7
161 : 0.0007 : 0.0423963 : 0.000270012 : 1.2 : 0.7
162 : 0.0007 : 0.0423848 : 0.000269974 : 1.2 : 0.7
163 : 0.0007 : 0.0423734 : 0.000269936 : 1.2 : 0.7
164 : 0.0007 : 0.042362 : 0.000269898 : 1.2 : 0.7
165 : 0.0007 : 0.0423505 : 0.000269861 : 1.2 : 0.7
166 : 0.0007 : 0.0423391 : 0.000269822 : 1.2 : 0.7
167 : 0.0007 : 0.0423277 : 0.000269786 : 1.2 : 0.7
168 : 0.0007 : 0.0423163 : 0.000269746 : 1.2 : 0.7
169 : 0.0007 : 0.0423049 : 0.000269709 : 1.2 : 0.7
170 : 0.0007 : 0.0422934 : 0.00026967 : 1.2 : 0.7
171 : 0.0007 : 0.042282 : 0.000269633 : 1.2 : 0.7
172 : 0.0007 : 0.0422706 : 0.000269593 : 1.2 : 0.7
173 : 0.0007 : 0.0422593 : 0.000269556 : 1.2 : 0.7
174 : 0.0007 : 0.0422479 : 0.000269518 : 1.2 : 0.7
175 : 0.0007 : 0.0422365 : 0.00026948 : 1.2 : 0.7
176 : 0.0007 : 0.0422251 : 0.000269442 : 1.2 : 0.7
177 : 0.0007 : 0.0422137 : 0.000269404 : 1.2 : 0.7
178 : 0.0007 : 0.0422024 : 0.000269366 : 1.2 : 0.7
179 : 0.0007 : 0.042191 : 0.000269328 : 1.2 : 0.7
180 : 0.0007 : 0.0421796 : 0.00026929 : 1.2 : 0.7
181 : 0.0007 : 0.0421683 : 0.000269252 : 1.2 : 0.7
182 : 0.0007 : 0.0421569 : 0.000269214 : 1.2 : 0.7
